asin,url,title,price,old_price,discount,stock,reviews_count,min_age,max_age,weight_grams,short_description,toy_type,€/g,age_span,avg_age,price_review_ratio,value_for_money,price_per_year,reviews_density,price_outlier_by_type,€/g_outlier_global,reviews_outlier_global,price_bucket,bucket_order,flag_emotional_triggers,flag_montessori,flag_eco
B0CMG86KX4,https://www.amazon.de/Fisher-Price-HXV21-Wooden-Nursery-Children/dp/B0CMG86KX4?ref_=ast_sto_dp&th=1&psc=1,HXV21 Wooden Ice Cream Parlor Play Set for Nursery Children 18 Wooden Pieces for Role Play from 3 Years,"€45,31","€45,31",,,381,"3,00","7,00",2580,"18-piece wooden ice cream parlor play set for a delicious, fun nursery role play.
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
Includes display case, 1 ice ball tongs, 4 ice cream, 2 waffles, 2 cups, 4 water ice cream, menu, spoon, 2 embellishments
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up",wooden,"€0,02","4,00","2,00","€0,12","8,41","€11,33","95,25",0,0,0,>=40 €,999,1,1,1
B0CMFRHZDQ,https://www.amazon.de/Fisher-Price-Wooden-Saucers-Nursery-HXT82/dp/B0CMFRHZDQ?ref_=ast_sto_dp&th=1&psc=1,"Wooden Tea Set with Teapot, Cups and Saucers, 12 Wooden Pieces for Role Play in Nursery Age 3 Years and Above, HXT82","€17,73","€45,31",61%,,381,"3,00","7,00",955,"12-piece wooden tea party set for endless role play fun
All parts are made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
Includes serving tray, teapot with lid, 2 tea cups, 2 saucers, 2 spoons, 2 cupcakes and 1 plate
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up",wooden,"€0,02","4,00","2,00","€0,05","21,49","€4,43","95,25",0,0,0,10-20 €,999,1,1,1
B0CMFTKPF5,https://www.amazon.de/Fisher-Price-Wooden-Cookware-Role-Play/dp/B0CMFTKPF5?ref_=ast_sto_dp&th=1&psc=1,Wooden Cookware Set for Role Play - 19 Wooden Pieces for Nursery Children from 3 Years - HXT83,"€37,99",,,,381,"3,00","5,00",540,"Wooden kitchen play set for kindergarten-friendly role play for cooking and tables
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
19 pieces. Includes 1 pot, 2 pans, 2 lids, 2 cooking accessories, 1 toy oven glove, and 11 foods for cooking and tabling
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up",wooden,"€0,07","2,00","1,00","€0,10","10,03","€19,00","190,5",0,0,0,30-40 €,999,0,1,1
B0CMG5RV4H,https://www.amazon.de/Fisher-Price-Coffee-Nursery-Children-HXT85/dp/B0CMG5RV4H?ref_=ast_sto_dp&th=1&psc=1,"Role Play Set, Coffee to Go Set, Wooden Coffee Cups and Treats for Nursery Children from 3 Years, HXT85","€19,22","€45,31",58%,,381,"3,00","7,00",430,"Playset with coffee cups and treats made of wood for a nursery-friendly cafe role play
All parts are made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
15 pieces. Includes 3 takeaway drinking cups including lid and protective cover, 2 biscuits, 2 marshmallows, 1 spoon and a cup holder
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up",wooden,"€0,04","4,00","2,00","€0,05","19,82","€4,81","95,25",0,0,0,10-20 €,999,0,1,1
B0CY6NQQYK,https://www.amazon.de/Fisher-Price-Children-Stacking-Certified-HXT97/dp/B0CY6NQQYK?ref_=ast_sto_dp&th=1&psc=1,"Toy for Nursery Children, Flower Garden, Wooden Puzzle with Stacking Blocks, 37 FSC Certified Wooden Pieces for Children from 3 Years, HXT97","€8,53","€9,17",7%,12,31,"3,00","7,00",640,"Wooden puzzle for children in creative flower garden design with stackable building blocks
Includes 37 building blocks and a frame with markings that allow children to assign the shapes to the corresponding fields
Made from wood sourced from sustainable forests with Forest Stewardship Council certification
Supports fine motor skills, problem-solving skills and imagination
A great gift for kindergarten children aged 3 and up",wooden,"€0,01","4,00","2,00","€0,28","3,63","€2,13","7,75",0,0,0,<10 €,999,0,1,1
B0CMG4WL99,https://www.amazon.de/Fisher-Price-Toddlers-Stacking-Children-HXV05/dp/B0CMG4WL99?ref_=ast_sto_dp&th=1&psc=1,"Sorting Toy for Toddlers, Shape, Stacking Toy, Made of Wood, 13 Wooden Pieces for Fine Motor Play, Nursery Children from 2 Years, HXV05","€11,68","€12,99",10%,,117,"2,00","5,00",245,"Wooden shape stacking toy for stacking fun for toddlers
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Supports the development of fine motor skills and problem-solving skills
Includes 1 sorting base and 12 shapes for stacking
Montessori education-inspired creative game for toddlers and kindergarten children aged 2 and up",wooden,"€0,05","3,00","1,50","€0,10","10,02","€3,89",39,0,0,0,10-20 €,999,1,1,1
B0CMFL2D8M,https://www.amazon.de/Fisher-Price-HXV13-Childrens-Xylophone-Development/dp/B0CMFL2D8M?ref_=ast_sto_dp&th=1&psc=1,HXV13 Children's Wooden Xylophone Musical Toy 2 Pieces for Playful Development for Children Aged 2+,"€16,00","€16,95",6%,,47,"2,00","5,00",315,"Colourful musical instrument for toddlers to introduce to sounds and music
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Supports fine motor and sensory development
Includes 1 xylophone and 1 mallet for toddler fun
Montessori education-inspired creative game for toddlers and kindergarten children aged 2 and up",wooden,"€0,05","3,00","1,50","€0,34","2,94","€5,33","15,667",0,0,0,10-20 €,999,1,1,1
B0CMFYWRPM,https://www.amazon.de/Fisher-Price-Preschool-Geometric-Children-HXT94/dp/B0CMFYWRPM?ref_=ast_sto_dp&th=1&psc=1,"Preschool Toys Wooden Puzzle with Geometric Mandala Design, 40 Pieces Wooden Jigsaw Puzzles for Children Aged 3+ Years HXT94","€24,84","€8,53",,,74,"3,00","7,00",730,"Wooden puzzle for children with beautiful geometric mandala design in bright colours
Includes 40 mould pieces and a tray with guides that allow children to assign the shapes to the corresponding fields
Made from wood sourced from sustainable forests with Forest Stewardship Council certification
Supports fine motor skills, problem-solving skills and confidence
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up
Smilestones: Master every milestone with a smile! This puzzle promotes dexterity as the hand muscles are trained by gripping, handling and sorting the pieces in the appropriate places",wooden,"€0,03","4,00","2,00","€0,34","2,98","€6,21","18,5",0,0,0,20-30 €,999,0,1,1
B0CMFRVGW9,https://www.amazon.de/Fisher-Price-Stacking-Toddlers-Children-HXT77/dp/B0CMFRVGW9?ref_=ast_sto_dp&th=1&psc=1,"Wooden Ring Stacking Toy for Toddlers, 10 Wooden Pieces for Stacking Fun for Children Aged 18 Months and Above, HXT77","€12,99","€22,99",43%,16,140,"1,50","3,00",1050,"Colourful wooden ring stacking toy for building fun for toddlers
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Promotes the development of fine motor skills and problem-solving skills
Includes 1 stacking base and 9 stacking rings
Montessori education-inspired creative game for toddlers and kindergarten children aged 18 months and up",wooden,"€0,01","1,50","0,75","€0,09","10,78","€8,66","93,333",0,0,0,10-20 €,999,1,1,1
B0D9MLFVC9,https://www.amazon.de/Fisher-Price-HXV11-Nursery-Children-Accessories/dp/B0D9MLFVC9?ref_=ast_sto_dp,"HXV11 Wooden Home Office Set for Nursery Children, 9 Accessories with Wooden Laptop and Phone for Role Play, for Children from 3 Years","€30,81","€19,95",,,98,"3,00","7,00",,"9-piece wooden home office set for kindergarten children who want to work in their role play in the home office
Made from wood sourced from sustainable forests with Forest Stewardship Council certification (FSC-N004566)
Stimulates imaginative role play and storytelling
Includes a laptop bag, a laptop with chalkboard screen, a phone with a chalkboard screen, a cup, a mouse, a stapler, a pen cup, a document folder and a set of documents
Independent creative game for kindergarten children aged 3 and over",wooden,,"4,00","2,00","€0,31","3,18","€7,70","24,5",0,0,0,30-40 €,999,0,1,1
