asin,url,title,price,old_price,discount,stock,reviews_count,age_range,weight,short_description
B01NCUSC7V,https://www.amazon.de/Fisher-Price-FFC84-Building-Sorting-Storage/dp/B01NCUSC7V?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price FFC84 Baby's First Building Blocks Shape Sorting Game with Toy Cube and Storage Bucket for Ages 6 Months and up, Single",€11.99,€15.99,-25%,In stock,"48,002 global ratings",,13 x 12.5 x 21.01 cm; 421 g,"Classic toy from 6 months – Our Fisher-Price baby sorting game is a classic for little boys and girls. The portable play bucket with 10 colourful building blocks in different shapes is fun for all babies! With the removable yellow sorting window, the baby learns to recognise and sort colours and shapes in a playful way.
Baby toy and shape sorting game – the colourful play cubes can be stored in the robust yellow-blue game bucket with cheerful animal motif. The yellow sorting window makes the toy an exciting plug-in game: here the baby learns to push the different motor skills building blocks through the properly shaped opening. A game of shapes from 6+ months.
Colourful sorting game and stick game – This colourful baby shape sorting game is ideal for motor skills and promotes thinking skills and problem solving. The sorting cubes are easy to grip for small hands and the bucket has a practical carry handle for on the go. The colourful building blocks from 6 months make even older babies from 9 months or 1 year curious
Great gift for boys and girls from 6 months – are you looking for games for babies or gifts for six months old or even one-year-old girls and boys? Then this educational toy is the right thing for you. Our classic children's toy contains colourful cubes and a colourful sorting box. Make baby games fun!
Motor skills toy from 6 months / 1 year – with this sorting and stacking toy, babies learn to distinguish colours and shapes. In addition, sorting and plugging helps develop fine motor skills. This plug-in box is a wonderful activity toy that can be played infinitely often. Also suitable as a sorting game from 1 year."
B0B2XBHYTK,https://www.amazon.de/Fisher-Price-interactive-learning-bouncing-suspension/dp/B0B2XBHYTK?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price, - DJ Hüpfi, German version, interactive learning toy for dancing, moving and bouncing, with music and suspension, baby toy for children from 9 months, HJP94",€39.18,€49.99,-22%,,413 global ratings,36 months - 3 years,19.05 x 27.94 x 33.02 cm; 1.21 kg,"DJ Hoppi by Fisher Price enthusiastic with music and dance – this fun DJ for children and babies from 9 months attracts attention with its great interactive functions; the 3 large buttons hold music, letters and numbers as well as an exciting recording function; another highlight is the motorised spring mechanism, which provides fun bouncing fun
The entertaining DJ toy supports learning – as soon as the child presses on the large colourful buttons, the sympathetic DJ bouncy lights up colourful and comes to life; the little ones can playfully listen to the more than 75 melodies, sounds and phrases and discover new things; whether letters, colours, numbers or opposites - Your child can play your child end learning new
This baby toy from 9 months grows with the interests of the children – thanks to the three smart stages learning levels, learning fun can be adapted to the respective development level; in level 1, everything is about discovery, while the little ones are encouraged in level 2; for the larger ones waiting in level 3 imaginative songs to sing along
DJ HÜPFI invites you to discover and move – here is the name program, because Dj Hüpfi bounces cheerfully up and down; with this fascinating bouncy toy, children bounce with joy; when it's time for a little dance break, the little ones can start exciting recordings and play them with fun filters; so this fun bouncy ensures guaranteed for party fun In the children's room
Dancing toy with cheerful melodies from Fisher Price – movement for children is important and here at Fisher-Price we have written it on our flags to support the little ones with our high-quality toy as much as possible; with our fascinating baby toy, learning is fun; and what could be more fun than dancing and dancing on the side of this funny DJ New to discover new to discover new"
B0BRSJWD6X,https://www.amazon.de/Fisher-Price-Stacking-Plant-Based-Materials-HPY92/dp/B0BRSJWD6X?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price Farring Pyramid Baby Toy, Classic Swing Ring Stacking Toy for Babies and Toddlers, Made of Plant-Based Materials, HPY92",€9.99,€9.99,,Available to ship in 1-2 days,"10,862 global ratings",6 months - 3 years,13.65 x 13.65 x 22.54 cm; 0.41 g,"Classic stacking toy with 5 colourful rings and swinging base for poking
Made from plant-based materials (*toys made from at least 90% ethanol derived from sugar cane.) Packaging with FSC certificate.
Brings baby different sizes closer when stacking the smaller rings on top of the larger ones
Gripping and stacking the rings helps babies develop fine motor skills and problem-solving skills.
For babies from 6 months"
B09QLG71CB,https://www.amazon.de/Fisher-Price-HJY73-2-Sided-Walker-Interactive/dp/B09QLG71CB?ref_=ast_sto_dp&th=1&psc=1,Fisher-Price HJY73 2-Sided Car Walker Interactive Game Center with Over 50 Songs - Dutch English French German Italian Spanish,€41.99,,,,"2,188 global ratings",,50.2 x 40.6 x 43.2 cm; 1.7 kg,"Interactive walker in animal world design with activities on both sides and 3 play options that grow with the baby: from sitting to standing to walking
Can be pushed from both sides; with the walker wheels, a slow pace is possible that makes walking easier to learn
3 smart stages learning levels with over 50 songs, sounds and phrases teach letters, numbers and opposites; with the globe button the desired language is selected: English, French, Spanish, German, Italian or Dutch
Over 10 activities keep babies busy, including a cute panda as a steering wheel with light up nose, ABC/123 buttons, 3 building blocks for sorting and much more
Promotes the development of fine and gross motor skills and allows first learning success for babies and toddlers between 6 months and 3 years
This walker is available exclusively on Amazon and comes in easy-to-open, 100% recyclable packaging"
B01LZYGY8H,https://www.amazon.de/Fisher-Price-FGW66-Plapperphone-Sounds-Months/dp/B01LZYGY8H?ref_=ast_sto_dp&th=1&psc=1,Fisher-Price FGW66 Plapperphone Toy with Sounds 12 Months +,€13.90,€15.99,-13%,In stock,"29,279 global ratings",3 months - 3 years,19.51 x 16 x 10.69 cm; 470 g,"Age: 12 M+.
Encourages these developmental areas: Gross motor skills, creativity and imagination, sensory perception.
For playing, sitting or pulling behind.
Features fun ringing sounds and eyes that move up and down.
The dial makes it familiar with the numbers from 0-9.
Encourages early role play."
B09P9HNXTM,https://www.amazon.de/Fisher-Price-Building-Stacking-Sorting-Toddlers/dp/B09P9HNXTM?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price - Baby's First Building Blocks - Navy Blue Fawn, Set of 10 Building Blocks for Stacking and Sorting, Building Toys, Baby Toys for Toddlers from 6 Months, HJP20",€16.46,€16.46,,,"48,002 global ratings",,No warning is applicable,"Set of 10 building blocks for baby to stack, sort and plug through
All building blocks can be easily stored in the bucket
Child-friendly handle for taking with you on the go
Introduces babies to colours, numbers and shapes
For babies from 6 months"
B0DNFFJD73,https://www.amazon.de/Fisher-Price-JGW87-Educational-Developmental-Multilingual/dp/B0DNFFJD73?ref_=ast_sto_dp,"Fisher-Price JGW87 Educational Fun Toy for Babies and Toddlers, Developmental 4-in-1 Play Table and Easel with Music from 6 Months, Multilingual Version",€81.19,€21.99,,Only 12 left in stock.,,,28.26 x 42.28 x 66.36 cm; 2.56 kg,"This electronic learning toy offers 4 ways to play, learn and design for babies and toddlers. It can be transformed from a game board to an activity table, a game table or an easel!
3 Smart Stages learning levels with over 135 songs, sounds and phrases that encourage learning colours, numbers, numbers and much more in a playful way. The globe button selects the desired language: English, French, German, Italian or Dutch.
Little hands can press the color buttons or rotate the color wheel to activate lights, music and sounds. In addition, the toy offers activity activities such as a bead strip, a pen roll, a number slider and a turning book.
Real easel! Includes clip for attaching paper and storage for the utensils.
This toy for babies and toddlers from 6 months to 3 years promotes motor skills, creative expression, role play, independence and more."
B07PFYWVDQ,https://www.amazon.de/Fisher-Price-GJW15-Gigantic-Coloured-Stacking/dp/B07PFYWVDQ?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price GJW15 Gigantic Coloured Pyramid Stacking Toy with Rings for Babies and Toddlers, Baby Toy from 1 Year Up",€32.32,€34.99,-8%,,"8,166 global ratings",,No warning is applicable,"The classic Fisher-Price stacking toy can be raised high (38 cm high)
6 colourful rings that baby can grip, shake, stack and explore
Shake the top ring to hear fun rattle sounds
Swing base for nudging
For babies from 12 months"
B00MYL9JW8,https://www.amazon.de/Fisher-Price-CDC52-Colourful-Stacking-Sorting/dp/B00MYL9JW8?ref_=ast_sto_dp,"Fisher-Price CDC52 Colourful Stacking Cube Toy for Sorting and Stacking 6 Months +, Single",€12.60,€21.99,,In stock,"8,765 global ratings",Warning: not suitable for children under 36 months.,Warning: not suitable for children under 36 months.,"Five cubes for stacking and interlocking from large to small
Numbers, colours, figures, items and structures that the child can discover on each cube
Stacking promotes gross motor skills and hand-eye coordination of the child
Thinking and problem solving skills are encouraged when the child finds out how to stack and insert the cubes into each other
Baby toys from 6 months"
B0DMWGLN9C,https://www.amazon.de/Fisher-Price-Learning-Activities-Children-JGW90/dp/B0DMWGLN9C?ref_=ast_sto_dp,"Fisher-Price Baby Walker Learning with Mir Purple Monkey Toy with Music, Lights & Activities for Children and Toddlers and from 6 Months, JGW90",€206.99,€64.59,,In stock,1 global rating,,No warning is applicable,"Walker for children and toddlers and musical activity toy with 2 play options that help babies transition from sitting to standing and running
Plays the popular Maybe melody of the purple monkey! Music and sounds as a reward, keep babies running and exploring further
7 different game buttons! Light buttons, picture book, spinning ball, flipper, turntable and switch
Sturdy 4-wheel base and easy grip handle support the first steps
This toy helps promote fine and gross motor skills, sensory skills and curiosity of children and toddlers from 6 months"
